doc_id,country,locator,anchors_found,anchors_interpolated,vlm_regions_kept,fields_total,fields_auto_accepted,pct_auto_accepted,band_high,band_medium,band_low,opencrvs_fields_prefilled,opencrvs_comment_lines,tp,fp,fn,tn,handwritten
ao_traduction_1987,ao,template,5,3,,23,13,56.5,13,10,0,7,16,13,0,10,0,False
bj_volet_2018,bj,template,19,1,,24,18,75.0,18,3,3,6,14,18,0,3,0,False
cd_acte_2023,cd,vlm_grounded,10,7,4,25,6,24.0,6,10,9,8,18,6,0,10,5,True
cg_copie_1988,cg,template,12,2,0,25,15,60.0,15,4,6,8,17,15,0,3,2,False
ci_copie_1984,ci,template,9,0,,23,21,91.3,21,2,0,10,13,21,0,0,0,False
cm_acte_1977,cm,vlm_grounded,10,13,11,20,1,5.0,1,9,10,5,12,1,0,5,4,True
cv_traduction_1973,cv,template,19,0,0,22,7,31.8,7,5,10,6,14,7,0,2,10,False
dz_copie_1998,dz,template,16,2,,29,26,89.7,26,3,0,7,22,26,0,3,0,False
eg_acte_1976,zz,template,2,6,0,17,0,0.0,0,12,5,5,9,0,0,0,0,False
gabon_p4,zz,template,4,4,0,17,0,0.0,0,13,4,5,12,0,0,0,0,True
gn_extrait_1972,gn,template,21,3,0,24,15,62.5,15,2,7,7,19,15,0,1,6,False
ke_acte_1972,ke,template,12,2,0,15,7,46.7,7,0,8,5,12,7,0,0,4,False
lb_acte_1969,lb,template,15,5,0,22,1,4.5,1,0,21,5,21,1,0,0,8,False
lr_acte_1978,lr,template,18,1,0,15,13,86.7,13,2,0,7,8,13,0,2,0,False
ma_copie_1983,ma,template,14,0,,31,20,64.5,20,10,1,11,17,20,0,4,0,False
mg_copie_1999,mg,template,8,0,,25,18,72.0,18,7,0,9,16,18,0,1,2,False
ml_copie_2024,ml,template,20,1,0,29,3,10.3,3,6,20,9,26,3,0,1,0,False
mr_extrait_1987,mr,template,6,4,,27,18,66.7,18,9,0,9,15,18,0,9,0,False
mu_extract_1991,mu,template,19,0,,26,22,84.6,22,0,4,5,14,22,0,0,0,False
sn_extrait_1997,sn,template,13,4,,25,16,64.0,16,8,1,5,17,16,0,8,0,True
tn_extrait_1981,tn,template,20,4,,25,18,72.0,18,3,4,7,13,18,0,4,0,False
